"REF_DATE","GEO","DGUID","Wages","Job permanency","Union coverage","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2018","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109027","1.2.1.3.1.1","26.09","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109027","1.2.1.3.1.1","26.88","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109027","1.2.1.3.1.1","28.76","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109027","1.2.1.3.1.1","29.44","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Total employees, permanent and temporary","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109027","1.2.1.3.1.1","30.87","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109082","1.2.2.1.1.1","28.41","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109082","1.2.2.1.1.1","29.13","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109082","1.2.2.1.1.1","30.83","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109082","1.2.2.1.1.1","31.49","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109082","1.2.2.1.1.1","32.84","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109137","1.2.2.2.1.1","31.49","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109137","1.2.2.2.1.1","32.07","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109137","1.2.2.2.1.1","33.31","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109137","1.2.2.2.1.1","33.86","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Permanent employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109137","1.2.2.2.1.1","34.88","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Permanent employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109192","1.2.2.3.1.1","27.09","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Permanent employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109192","1.2.2.3.1.1","27.87","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Permanent employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109192","1.2.2.3.1.1","29.72","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Permanent employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109192","1.2.2.3.1.1","30.45","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Permanent employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109192","1.2.2.3.1.1","31.95","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109247","1.2.3.1.1.1","22.18","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109247","1.2.3.1.1.1","22.75","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109247","1.2.3.1.1.1","23.87","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109247","1.2.3.1.1.1","24.65","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Total employees, covered and not covered by union","Both sexes","15 years and over","Current dollars","75","units","0","v2109247","1.2.3.1.1.1","25.46","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109302","1.2.3.2.1.1","28.39","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109302","1.2.3.2.1.1","29.02","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109302","1.2.3.2.1.1","29.57","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109302","1.2.3.2.1.1","30.38","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Temporary employees","Union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109302","1.2.3.2.1.1","31.44","","","","2"
"2018","Canada","2016A000011124","Average hourly wage rate","Temporary employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109357","1.2.3.3.1.1","19.73","","","","2"
"2019","Canada","2016A000011124","Average hourly wage rate","Temporary employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109357","1.2.3.3.1.1","20.20","","","","2"
"2020","Canada","2016A000011124","Average hourly wage rate","Temporary employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109357","1.2.3.3.1.1","21.29","","","","2"
"2021","Canada","2016A000011124","Average hourly wage rate","Temporary employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109357","1.2.3.3.1.1","22.02","","","","2"
"2022","Canada","2016A000011124","Average hourly wage rate","Temporary employees","No union coverage","Both sexes","15 years and over","Current dollars","75","units","0","v2109357","1.2.3.3.1.1","22.82","","","","2"


